fPeak,pLow,pMid,pHigh,pKurtosis,qMean,qVar,qSkewness,qKurtosis,qPeak2Peak,qCrest,qRMS,qMAD,qCSRange,LeakFault,BlockingFault,BearingFault,LeakFlag,BlockingFlag,BearingFlag,CombinedFlag
95.74945055,7.437707245,96.24635981,92.61665455,360.9271523,38.01573413,11.87545056,-0.7096921,2.988469272,19.83850851,1.167239802,38.17147632,2.861363353,45616.88199,1.00E-09,0.8,0,0,0,0,0
95.81001221,8.754844466,76.52778734,81.5845132,313.7417219,38.02014299,11.24316334,-0.66205615,2.886683018,19.55444355,1.174084447,38.16759195,2.785965721,45623.69188,1.00E-09,0.8,0,0,0,0,0
95.81001221,9.316404531,95.74075092,81.76043886,278.1456954,38.01742067,11.41353444,-0.657674429,2.844557806,17.90438958,1.149332342,38.16711026,2.810321987,45621.51383,1.00E-09,0.8,0,0,0,0,0
95.81001221,6.593272301,101.6779361,87.27893774,198.6754967,38.00671759,11.48187087,-0.651657277,2.789939032,18.67127591,1.169095438,38.15734389,2.841849803,45608.57932,1.00E-09,0.8,0,0,0,0,0
95.81001221,8.664774147,99.67039078,80.62209091,484.2715232,38.01465536,11.61552073,-0.600275045,2.671766002,17.57634815,1.157377654,38.16699977,2.854336829,45615.5878,1.00E-09,0.8,0,0,0,0,0
95.81001221,8.387713161,102.0266173,80.41406536,118.3774834,38.012649,11.52125508,-0.683563826,2.933928248,19.20627094,1.168697092,38.16376745,2.81512734,45614.08713,1.00E-09,0.8,0,0,0,0,0
95.81001221,4.612289483,99.84264228,83.23158527,422.1854305,37.96744838,11.65223159,-0.712618438,2.943185667,18.21000078,1.151860878,38.12046256,2.819125288,45560.23979,1.00E-09,0.8,0,0,0,0,0
95.74945055,5.943842303,95.65284343,82.54632052,153.1456954,37.98512817,11.70475118,-0.704169366,2.957525455,19.34439327,1.161112384,38.13875938,2.84789999,45580.59497,1.00E-09,0.8,0,0,0,0,0
95.81001221,7.169924307,98.46388383,92.37767606,186.2582781,38.00513864,11.57539743,-0.702572157,2.872437891,18.10106879,1.15480836,38.15699572,2.82391767,45607.50267,1.00E-09,0.8,0,0,0,0,0
95.81001221,6.715165047,92.78321892,85.77097372,57.1192053,38.01931806,11.53327007,-0.645628719,2.776864626,17.89376002,1.169072977,38.17056736,2.81828185,45622.61487,1.00E-09,0.8,0,0,0,0,0
95.81001221,10.09305796,89.69114183,86.17571346,340.2317881,37.98721775,11.42924235,-0.671828755,2.836526509,17.86570023,1.151979519,38.13723166,2.808308044,45584.9659,1.00E-09,0.8,0,0,0,0,0
